name,iata_code,photo_card
Paris,PAR,https://c2.staticflickr.com/8/7003/6672156239_01bde2b717_b.jpg
London,LON,http://www.travelonline.com/england/london/attractions/big-ben-in-westminster-40493.jpg
Roma,ROM,https://lonelyplanetimages.imgix.net/mastheads/stock-photo-roman-sunset-77415821.jpg?sharp=10&vib=20&w=1200.jpg
Madrid,MAD,https://c2.staticflickr.com/8/7426/16499080702_844a424228_b.jpg
Berlin,BER,https://blog.websummit.net/wp-content/uploads/2016/02/berlin-header.jpg
Brussels,BRU,http://assets.fodors.com/destinations/35/dusk-restaurants-rue-des-bouchers-brussels-belgium_main.jpg
Athens,ATH,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/View_of_the_Acropolis_Athens_(pixinn.net).jpg/400px-View_of_the_Acropolis_Athens_(pixinn.net).jpg
Milano,MIL,http://milano.boscolohotels.com/sites/milan.boscolo-hotels.ogilvy.it/files/milano-promo-nightlife.jpg
Venice,VCE,http://assets.fodors.com/destinations/54497/gondolas-canal-venice-italy_main.jpg
Amsterdam,AMS,https://media-cdn.tripadvisor.com/media/photo-s/0b/37/0e/cf/sandemans-new-amsterdam.jpg
Lisbon,LIS,https://image.jimcdn.com/app/cms/image/transf/dimension=1920x400:format=jpg/path/sa6549607c78f5c11/image/i5cc400aaff0b5f21/version/1471521184/image.jpg
Dublin,DUB,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Moore_Street_market,_Dublin.jpg/1024px-Moore_Street_market,_Dublin.jpg"
Helsinki,HEL,https://upload.wikimedia.org/wikipedia/commons/b/ba/Helsinkimerelta--GFDL--.jpg
Barcelona,BCN,http://media.routard.com/image/06/3/photo.1462063.18.jpg
Cyprus,LCA,http://newyearseveblog.com/wp-content/uploads/2016/09/cyprus-nye.jpg
Florence,FLR,http://45.55.178.217/wp-content/uploads/2015/12/florence.jpg
Malta,MLA,http://www.planetware.com/photos-large/M/malta-popeye-village.jpg
Vienna,VIE,http://www.planetware.com/photos-large/A/vienna-town-hall.jpg
Riga,RIX,http://airporttransfers24.com/wp-content/uploads/2013/12/square.jpg
Vilnius,VNO,http://35aqobgy79qkq7w3vokgfa6l.wpengine.netdna-cdn.com/wp-content/uploads/2014/09/Lithuania-Vilnius-view-of-main-square-MKlimenta-618-pixels.jpg
